cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114825_0,-70.62663432203391,-33.551511271186435,122.0,23.0,1.0,1.0,2.0601694915254236,114825
114825_1,-70.61792465346538,-33.54896079207921,25.0,4.0,0.0,0.0,4.644059405940594,114825
114825_2,-70.61759707865168,-33.55431696629214,28.0,5.0,0.0,0.0,4.745692883895129,114825
114825_3,-70.62985333333334,-33.550708666666665,180.0,34.0,0.0,0.0,2.5077777777777777,114825
114817_0,-70.62378955223882,-33.56073388059701,26.0,4.0,1.0,1.0,3.7604477611940292,114817
114817_1,-70.61956285714287,-33.56015571428571,161.0,32.0,0.0,0.0,2.723809523809524,114817
114817_2,-70.61480808510639,-33.55828085106383,67.0,13.0,0.0,0.0,2.381205673758865,114817
114817_3,-70.61434660377358,-33.56141905660378,81.0,16.0,0.0,0.0,3.119496855345912,114817
114817_4,-70.62042833333334,-33.56388111111111,36.0,7.0,0.0,0.0,4.671296296296295,114817
114804_0,-70.60025943181817,-33.53205704545456,15.0,3.0,0.0,0.0,2.2085227272727272,114804
114804_1,-70.59782416666665,-33.53744722222223,18.0,3.0,0.0,0.0,4.122685185185185,114804
114804_2,-70.60621328125,-33.534028125,16.0,3.0,0.0,0.0,3.077864583333333,114804
114804_3,-70.59930666666666,-33.53163000000001,22.0,4.0,0.0,0.0,3.9749999999999996,114804
114804_4,-70.5997290625,-33.5283771875,1.0,0.0,0.0,0.0,4.1578125,114804
114315_0,-70.62972941176471,-33.5306594117647,18.0,3.0,0.0,0.0,2.686274509803922,114315
114315_1,-70.61745357142857,-33.52961071428572,18.0,3.0,0.0,0.0,1.936904761904762,114315
114315_2,-70.61455666666666,-33.52526111111111,15.0,3.0,0.0,0.0,1.9944444444444445,114315
114315_3,-70.61090333333333,-33.52901333333333,0.0,0.0,0.0,0.0,2.9805555555555556,114315
114315_4,-70.62155153846155,-33.52734615384615,8.0,1.0,0.0,0.0,0.9769230769230768,114315
114806_0,-70.6279607228916,-33.53814686746988,60.0,11.0,0.0,0.0,2.7299196787148623,114806
114806_1,-70.6169052727273,-33.54401663636363,32.0,5.0,0.0,0.0,5.865454545454542,114806
114806_2,-70.61602247422681,-33.53538556701031,26.0,5.0,0.0,0.0,5.237972508591063,114806
114806_3,-70.61674833333332,-33.540018333333336,38.0,7.0,0.0,0.0,5.558333333333334,114806
114807_0,-70.63648087719297,-33.54919210526315,11.0,2.0,0.0,0.0,4.7105263157894735,114807
114807_1,-70.64075910447761,-33.54667611940299,27.0,5.0,0.0,0.0,3.545771144278607,114807
114807_2,-70.64849805555558,-33.54576055555556,17.0,3.0,0.0,0.0,2.0039351851851848,114807
114807_3,-70.63372666666667,-33.55026,83.0,16.0,0.0,0.0,5.533333333333334,114807
114811_0,-70.63518655172416,-33.61732724137931,10.0,2.0,0.0,0.0,9.280459770114943,114811
114811_1,-70.61786829166665,-33.59209016666667,118.0,20.0,0.0,0.0,3.1781250000000005,114811
114811_2,-70.62138999999998,-33.59241,67.0,13.0,0.0,0.0,4.272222222222222,114811
114811_3,-70.64099553571431,-33.58652625,21.0,4.0,0.0,0.0,7.5684523809523805,114811
114826_0,-70.62311578947369,-33.61460596491228,24.0,4.0,0.0,0.0,5.845321637426901,114826
114826_1,-70.61911230769229,-33.62987109890111,31.0,5.0,0.0,0.0,4.6390109890109885,114826
114826_2,-70.62530166666666,-33.62735541666667,48.0,9.0,0.0,0.0,2.826041666666667,114826
114826_3,-70.62603944444444,-33.62940944444444,282.0,52.0,1.0,1.0,3.058333333333333,114826
114808_0,-70.64438083333336,-33.58329416666667,38.0,7.0,0.0,0.0,4.210416666666667,114808
114808_1,-70.6448480851064,-33.57830914893617,22.0,4.0,0.0,0.0,2.975886524822695,114808
114808_2,-70.63886100000003,-33.579919200000006,12.0,2.0,0.0,0.0,2.250333333333332,114808
